feature_1,feature_2,correlation
user_pv_cnt_7d,user_total_behavior_7d,0.9981349495440927
item_pv_cnt_7d,item_total_behavior_7d,0.9987658936222062
item_pv_cnt_7d,item_unique_user_7d,0.9816763771050795
item_total_behavior_7d,item_unique_user_7d,0.9771889338635215
cate_pv_cnt_7d,cate_fav_cnt_7d,0.9881381853056166
cate_pv_cnt_7d,cate_cart_cnt_7d,0.9649721941494486
cate_fav_cnt_7d,cate_cart_cnt_7d,0.9641993648505301
cate_pv_cnt_7d,cate_total_behavior_7d,0.9999579130832343
cate_fav_cnt_7d,cate_total_behavior_7d,0.9889065747036154
cate_cart_cnt_7d,cate_total_behavior_7d,0.9671570730171076
ui_pv_cnt_7d,ui_total_behavior_7d,0.9940947123692735
ui_fav_cnt_7d,ui_has_fav_7d,0.9792846806595455
uc_pv_cnt_7d,uc_total_behavior_7d,0.9978048537004172
cate_pv_cnt_7d,cate_night_behavior_cnt_7d,0.9966896362424944
cate_fav_cnt_7d,cate_night_behavior_cnt_7d,0.9838162076406235
cate_cart_cnt_7d,cate_night_behavior_cnt_7d,0.963182014690894
cate_total_behavior_7d,cate_night_behavior_cnt_7d,0.9966392614443993
cate_pv_cnt_7d,cate_weekend_behavior_cnt_7d,0.9800471142741793
cate_fav_cnt_7d,cate_weekend_behavior_cnt_7d,0.9666924164458336
cate_total_behavior_7d,cate_weekend_behavior_cnt_7d,0.9797399858913368
cate_night_behavior_cnt_7d,cate_weekend_behavior_cnt_7d,0.9790536385224302
cate_buy_cnt_7d,cate_night_buy_cnt_7d,0.9511204233374598
